time,event_type,bot_id,rack_id,stop_index,exit_id,leg_type,from_node,to_node,travel_start,travel_end,distance_m,n_turns,travel_time_s,queue_delay_s,service_start,service_end,release_time_s,n_os_stop,n_os,n_stops,trip_start,trip_end,trip_duration_s,travel_distance_total,travel_time_total,queue_time_total,release_time_total,cycle_time_total
43.125,travel_leg,BOT_1,RACK_1,1.0,EXIT_2,receiving_to_first_exit,receiving,EXIT_2,13.5,43.125,20.5,2.0,29.625,,,,,,,,,,,,,,,
49.125,exit_stop_service,BOT_1,RACK_1,1.0,EXIT_2,,,,,,,,,0.0,43.125,49.125,6.0,1.0,,,,,,,,,,
62.125,travel_leg,BOT_6,RACK_6,1.0,EXIT_1,receiving_to_first_exit,receiving,EXIT_1,39.5,62.125,14.899999999999999,2.0,22.624999999999996,,,,,,,,,,,,,,,
68.125,exit_stop_service,BOT_6,RACK_6,1.0,EXIT_1,,,,,,,,,0.0,62.125,68.125,6.0,1.0,,,,,,,,,,
83.625,return_leg,BOT_1,RACK_1,1.0,EXIT_2,last_exit_to_return,EXIT_2,return,49.125,83.625,22.799999999999997,3.0,34.5,,,,,,,,,,,,,,,
83.625,trip_completed,BOT_1,RACK_1,,,,,,,,,,,,,,,,1.0,1.0,13.5,83.625,70.125,43.3,64.125,0.0,6.0,70.125
92.0,travel_leg,BOT_7,RACK_7,1.0,EXIT_22,receiving_to_first_exit,receiving,EXIT_22,45.5,92.0,34.0,2.0,46.5,,,,,,,,,,,,,,,
95.625,return_leg,BOT_6,RACK_6,1.0,EXIT_1,last_exit_to_return,EXIT_1,return,68.125,95.625,17.2,3.0,27.499999999999996,,,,,,,,,,,,,,,
95.625,trip_completed,BOT_6,RACK_6,,,,,,,,,,,,,,,,1.0,1.0,39.5,95.625,56.125,32.099999999999994,50.12499999999999,0.0,6.0,56.125
98.0,exit_stop_service,BOT_7,RACK_7,1.0,EXIT_22,,,,,,,,,0.0,92.0,98.0,6.0,1.0,,,,,,,,,,
108.5,travel_leg,BOT_8,RACK_8,1.0,EXIT_22,receiving_to_first_exit,receiving,EXIT_22,62.0,108.5,34.0,2.0,46.5,,,,,,,,,,,,,,,
114.5,exit_stop_service,BOT_8,RACK_8,1.0,EXIT_22,,,,,,,,,0.0,108.5,114.5,6.0,1.0,,,,,,,,,,
116.12500000000001,travel_leg,BOT_4,RACK_3,1.0,EXIT_10,receiving_to_first_exit,receiving,EXIT_10,30.5,116.12500000000001,65.30000000000001,2.0,85.62500000000001,,,,,,,,,,,,,,,
117.0,travel_leg,BOT_2,RACK_2,1.0,EXIT_28,receiving_to_first_exit,receiving,EXIT_28,15.0,117.0,78.4,2.0,102.0,,,,,,,,,,,,,,,
122.12500000000001,exit_stop_service,BOT_4,RACK_3,1.0,EXIT_10,,,,,,,,,0.0,116.12500000000001,122.12500000000001,6.0,1.0,,,,,,,,,,
123.0,exit_stop_service,BOT_2,RACK_2,1.0,EXIT_28,,,,,,,,,0.0,117.0,123.0,6.0,1.0,,,,,,,,,,
142.25,travel_leg,BOT_14,RACK_14,1.0,EXIT_21,receiving_to_first_exit,receiving,EXIT_21,105.0,142.25,26.599999999999994,2.0,37.24999999999999,,,,,,,,,,,,,,,
145.75,travel_leg,BOT_11,RACK_11,1.0,EXIT_23,receiving_to_first_exit,receiving,EXIT_23,90.0,145.75,41.4,2.0,55.74999999999999,,,,,,,,,,,,,,,
146.25,return_leg,BOT_7,RACK_7,1.0,EXIT_22,last_exit_to_return,EXIT_22,return,98.0,146.25,33.8,3.0,48.24999999999999,,,,,,,,,,,,,,,
146.25,trip_completed,BOT_7,RACK_7,,,,,,,,,,,,,,,,1.0,1.0,45.5,146.25,100.75,67.8,94.75,0.0,6.0,100.75
148.25,exit_stop_service,BOT_14,RACK_14,1.0,EXIT_21,,,,,,,,,0.0,142.25,148.25,6.0,1.0,,,,,,,,,,
149.75,travel_leg,BOT_17,RACK_17,1.0,EXIT_21,receiving_to_first_exit,receiving,EXIT_21,112.5,149.75,26.599999999999994,2.0,37.24999999999999,,,,,,,,,,,,,,,
151.75,exit_stop_service,BOT_11,RACK_11,1.0,EXIT_23,,,,,,,,,0.0,145.75,151.75,6.0,1.0,,,,,,,,,,
154.12499999999997,travel_leg,BOT_3,RACK_4,1.0,EXIT_16,receiving_to_first_exit,receiving,EXIT_16,26.5,154.12499999999997,98.89999999999998,2.0,127.62499999999997,,,,,,,,,,,,,,,
155.75,exit_stop_service,BOT_17,RACK_17,1.0,EXIT_21,,,,,,,,,0.0,149.75,155.75,6.0,1.0,,,,,,,,,,
